solute solute_site subs_energy subs_energy_round
Al Nb_I 0.35894627750001185 0.359
Ti Nb_I 0.04724954500000056 0.047
Cr Nb_I 0.9988531000000052 0.999
Zr Nb_I 0.001669580000033477 0.002
Al Nb_II 0.6296283975000154 0.63
Ti Nb_II -0.11601297499998875 -0.116
Cr Nb_II 1.1217266700000295 1.122
Zr Nb_II -0.08874913999996892 -0.089
Al Nb_III 0.24705328750001065 0.247
Ti Nb_III -0.04254559499997779 -0.043
Cr Nb_III 1.0362538000000399 1.036
Zr Nb_III 0.04492583999999766 0.045
Al Si_I 1.487414086249986 1.487
Ti Si_I 3.292518623749971 3.293
Cr Si_I 2.8717095487499904 2.872
Zr Si_I 4.263112248749998 4.263
